Entreprise;Prenom;Opening Dialogue;Close Discussion;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;Question 10;Au revoir;Dialogue 1;Dialogue 2;Dialogue 3;Dialogue 4;Dialogue 5;Dialogue 6;Dialogue 7;Dialogue 8;Dialogue 9;Dialogue 10;Dialogue 11;Dialogue 12;Dialogue 13;Dialogue 14;Dialogue 15;Dialogue 16;Dialogue 17;Dialogue 18;Dialogue 19;Dialogue 20
Accidental Queens;Diane Landais;Bienvenue dans les bureaux d'Accidental Queens !;À bientôt !;Qui êtes-vous ?;Joli couronne ! Je pourrai en avoir une comme ça ? ;Ce téléphone t'est-il familier?;As-tu pris part à la soirée chez Seaven Studio ?;;;;;;;Je dois y aller.;Je suis Diane Landais, co-fondatrice d'Accidental Queens.;Nous sommes un studio indépendant qui a à coeur de faire des jeux visant à sensibiliser à des thématiques actuelles.;Traiter de sujets sociétaux à travers les jeux video nous anime !;Tu peux en savoir plus sur nos titres en allant voir le panneau.;Pas le moins du monde, je garde le mien précieusement dans ma poche de sac.;Bien sûr ! C'était un moment très convivial, j'ai pu longuement discuter avec Manon de Game IN.;Pendant que la soirée battait son plein, nous parlions d'artistes découverts sur les réseaux sociaux.;Non pas que la musique était mauvaise ! Mais rester discuter dans le canapé, c'est tout aussi agréable…;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
ActuGaming;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Alter Via Avocats;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Ankama;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Art FX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atelier 801;Mélanie Christin;Bienvenue dans la sourissière Atelier 801 !;À plus !;Qui êtes-vous ?;Qu'est ce qu'Atelier 801 ? ;J'ai trouvé ce téléphone dans le canapé de Seaven studio. As-tu égaré le tien ?;As-tu pris part à la soirée chez Seaven Studio ?;;;;;;;Je dois y aller.;Je suis Mélanie Christin, co-fondatrice d'Atelier 801.;Nous sommes le studio indépendant auteur du jeu Transformice.;Grâce à ce titre, nous avons pu nous forger une communauté très dévouée à travers le monde.;Celle-ci a d'ailleurs grandement contribuée au succès et à la longévité de notre studio.;;Non pas du tout, par contre, qui dit canapé dit Miryam. Le nombre de siestes qu'elle y a fait est incalculable.;Oui bien sûr, Game IN et Accidental Queens étaient de passage pour nous rendre visite ici même.;La soirée fut longue mais on n'a pas vu le temps passer en si charmante compagnie !;;;;;;;;;;;;
Atelier 801;Jean-Baptiste Le Marchand;Bonjour et bienvenue chez Atelier 801 !;Fais comme chez toi !;Qui êtes-vous ?;C'est normal qu'il y ait des souris sur vos bureaux ? ;;;;;;;;;Je dois y aller.;Jean-Baptiste Le marchand, le co-fondateur de l'entreprise Atelier 801 ! Je suis l'associé et l'ami de Melanie Christin.;Oui ! Ces souris représentent notre magnifique communauté , sans elles , nous n'en serions surement pas là aujourd'hui !;On y tient énormément, de plus elles sont très calines et très sages ! Ça nous fait un peu de compagnie  ! T'en veux une ? ;Ne fais pas cette tête enfin ! Les souris ne sont pas aussi indésirables qu'on ne le pense !;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Augmento / Hootside;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Babaoo;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Baby Corp.;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
C&P Studio;Frédéric Pecqueur;Bien le bonjour et bienvenue chez C&P Studio ! ;À plus et prend soin de toi !;Qui êtes-vous ?;Il est vraiment top ton matériel !;François Dervaux de Spooky Rabbits m'envoie récupérer un ampli.;;;;;;;;Je dois y aller.;Je suis Fredéric Pecqueur, directeur de C&p studio ! Je suis plus________________________________; T'as vu ça ? On a du matériel de haute qualité, ce qui nous permet de produire des sons tout aussi cool.;Oui bien sur, prends-le ! Il est juste derrière toi.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Ishtar Games;Ishtar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Cosmocover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-Artsup;Renaud Refigio;;;;;;;;;;;;;Je dois y aller.;Bonjour, bienvenue dans l'enceinte d'E-artsup, que puis-je faire pour t'aider ?;Oh? Effectivement ce téléphone m'est familier, je reconnaitraîs ce porte-clef entre mille !;Il appartient à Miryam, tu la retrouveras très certainement dans les studios Accidental Queens.;Ils sont situés vers l'Est de ta carte.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Furioos;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Gravity Box;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
IP Conseil;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Iron Equal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les Crafteurs;Alexandre Huyghe;;;;;;;;;;;;;Je dois y aller.;Je reconnais cette radio, c'est bien celle des Queens?;Bienvenue dans la Forge des Crafteurs, je suis Alexandre, s'il est question de réparer ta radio, tu es au bon endroit.;...;Avec des piles, ça fonctionne bien mieux.;Par contre, à part émettre une musique, elle ne fait rien de plus.;Va vers l'Ouest en suivant la musique de la radio.;;;;;;;;;;;;;;
Les Crafteurs;Simon Brioul;;;;;;;;;;;;;Je dois y aller.;Je reconnais cette radio, c'est bien celle des Queens?;;;;;;;;;;;;;;;;;;;
Les Crafteurs;Joris Mazelle;;;;;;;;;;;;;Je dois y aller.;Je reconnais cette radio, c'est bien celle des Queens?;;;;;;;;;;;;;;;;;;;
Les Crafteurs;Théo Maria;;;;;;;;;;;;;Je dois y aller.;Je reconnais cette radio, c'est bien celle des Queens?;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Ludogram;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Mash& Co;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Nacon;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Next Sound Lab;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Ordiretro;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Pictanovo;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Plaine Image;IA;Salut tu dois être § !  Laurent m'a parlé de ta nouvelle venue en ville ! J'imagine que tu es interessé par l'afterwork de ce soir ? Malheureusement je ne pense pas qu'il puisse avoir lieu en l'état actuel…;A plus !;Qui êtes-vous ? ;Qu'est ce que la Plaine Image ?;Pourquoi ?;Il n'existe aucun moyen de la réparer ?;*Branche la clef sur son socle*;;;;;;Je dois y aller.;(dialogue en cours d'écriture);(dialogue en cours d'écriture);Nos serveurs sont en panne donc notre système de communication est défectueux. Donc très peu de personne sont au courant de la tenue de cet évènement.;Maintenant que tu le dis, je connais peut être une personne qui pourrait nous aider ! Anna de 2054, elle est très calée sur le sujet ! Tu pourrais peut être aller lui demander de l'aide ? ;J'y serais bien allé mais je n'ai pas de jambes…;Ah, tu arrives juste à temps ! Je viens de finaliser ton inscription et je vois que tu m'as rapporté quelque chose ? Laisse-moi voir ça de plus près !;Je crois que ça refonctionne ! Tout le monde va reçevoir une notification maintenant que les serveurs fonctionnent, un grand merci à toi ! Maintenant, profitons !;;;;;;;;;;;;;
Play in Lab;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Pole IIID;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Prismatik;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Rubika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaven Studio;Olivier Penot;Quoi E N C O R E …;Fais comme chez toi !;Qui êtes-vous ?;Qu'est ce que Seaven Studio ?;Quel est ce lieu?;J'ai trouvé un téléphone sur ton canapé, est-ce le tien?;;;;;;;Je dois y aller.;Oooooohhhhhhh lalaaaaaa *soupir* Olivier Penot;Nous sommes un studio indépendant spécialisé dans le portage de jeux video sur console.;Beeeehhhh, une salle d'arcade ? ;Non pas du tout, je ne passe pas énormément de temps ici, par contre, Mélanie a invité du monde ici hier soir.;Tu devrais aller chez Atelier 801 pour lui demander plus d'infos.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Skeleton Business;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Space Ship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spooky Rabbits;François Dervaux;Bonjour tu es ? Ah § ?;Mets-toi à l'aise !;Qui êtes-vous ?;Elle est cool la musique !;;;;;;;;;Je dois y aller.;Je suis François Dervaux, je suis le président de Spooky Rabbits avec mon frère Mathieu, co-fondateur de la société.      ;Nous travaillons en ce moment sur un projet nommé Dogend avec notre associé, Léo Capou !;Ouais j'avoue qu'elle est pas mal, mais elle serait encore mieux si on avait un ampli adapté !  ;Celui qu'on a ne nous convient pas, et le rendu est pas tout à fait comme on veut. Je crois que Fred de chez C&P en a un, si jamais tu passes là-bas, tu pourrais lui demander de nous en prêter un, en lui disant que tu viens de ma part.;;;;;;;;;;;;;;;;
Spooky Rabbits;Gualtiero;Ah salut, tu dois être le gars dont François m'a parlé tout a l'heure ! ;Pas de souci !;*Donner l'ampli.*;;;;;;;;;;Je dois y aller.;Merci d'avoir pris le temps de nous ramener une ampli, on va pouvoir tester cette nouvelle version.;Ça te dit d'essayer un peu ? Montre-moi ce que tu sais faire !;Attention suit bien le rythme : 3, 2, 1.. ;;;;;;;;;;;;;;;;;
Spooky Rabbits;Mathieu Dervaux;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Square Squid;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Stormancer;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Synnaxium;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
The Talking Boot;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
Travo Lab Replay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vertical Studio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Walga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
We Are Chroniric;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
